CensusTract,State,County,Pop2010,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractCalFresh
06037101110,California,Los Angeles County,4731,16.1,70726,1595,931,3260,81,490,4,29,867,1324,167
06037101122,California,Los Angeles County,3664,3.4,100213,261,646,2810,28,500,1,14,311,575,8
06037101210,California,Los Angeles County,5990,33.0,32052,3651,1376,4000,218,459,4,40,1269,2219,269
06037101220,California,Los Angeles County,3363,15.0,46026,1683,756,2254,45,277,3,30,754,1272,122
06037101300,California,Los Angeles County,4199,9.2,113906,925,704,3554,47,322,3,7,266,503,61
06037101400,California,Los Angeles County,3903,8.4,80000,1065,682,3016,49,350,1,19,468,721,75
06037102103,California,Los Angeles County,1740,8.8,79514,251,269,1337,23,171,2,3,204,375,12
06037102104,California,Los Angeles County,3648,12.7,71091,1113,556,2794,90,475,3,8,278,533,94
06037102105,California,Los Angeles County,1731,17.3,50500,810,393,1040,16,141,0,7,527,1136,51
06037102107,California,Los Angeles County,3851,7.9,105905,1133,714,2790,103,282,14,28,634,1039,119
06037103101,California,Los Angeles County,2670,7.0,107000,640,516,2031,24,248,3,13,351,566,54
06037103102,California,Los Angeles County,4751,5.5,78190,992,924,3294,32,590,4,40,791,1351,19
06037103200,California,Los Angeles County,6150,15.1,86337,2206,1161,4378,277,463,10,40,982,1786,139
06037103300,California,Los Angeles County,3819,4.9,118073,337,780,3118,37,225,2,16,421,744,23
06037103400,California,Los Angeles County,6143,14.0,108338,1715,1142,4615,97,505,5,44,877,1540,226
06037104103,California,Los Angeles County,4085,7.7,91750,911,1138,1538,527,292,1,10,1717,2918,68
06037104105,California,Los Angeles County,5412,22.6,54306,3299,1769,2396,369,313,8,24,2302,4472,429
06037104108,California,Los Angeles County,5256,15.8,52083,2762,1646,2003,623,186,0,63,2381,4169,262
06037104124,California,Los Angeles County,4175,8.2,96328,897,1035,2198,593,231,8,41,1104,2122,93
06037104201,California,Los Angeles County,4780,24.7,54527,2559,1530,1841,411,20,1,55,2452,4293,186
06037104203,California,Los Angeles County,5210,25.1,39226,2953,1741,2077,330,69,10,26,2698,4708,238
06037104204,California,Los Angeles County,3375,15.6,52407,1614,989,1784,293,273,2,16,1007,2480,115
06037104310,California,Los Angeles County,4921,12.8,72250,2402,1571,2284,213,10,3,36,2375,4624,175
06037104320,California,Los Angeles County,5998,23.8,55694,2877,1865,2569,380,83,0,49,2917,5464,106
06037104401,California,Los Angeles County,3357,19.9,69728,1415,996,1382,9,20,1,57,1888,3248,114
06037104403,California,Los Angeles County,3282,20.0,56750,1368,955,1451,16,32,0,45,1738,3159,113
06037104404,California,Los Angeles County,3236,26.1,45114,1681,987,1333,45,23,0,31,1804,3112,149
06037104500,California,Los Angeles County,3293,23.1,65865,1300,1028,1588,24,25,4,39,1613,3137,92
06037104610,California,Los Angeles County,3672,16.9,60744,1817,1154,1623,28,17,17,35,1952,3574,97
06037104620,California,Los Angeles County,3539,9.3,63468,1761,1040,1563,31,12,0,55,1878,3420,160
06037104701,California,Los Angeles County,4208,33.5,32222,3370,1676,1800,166,19,0,31,2192,4018,353
06037104703,California,Los Angeles County,2397,31.2,42857,1536,780,1152,55,6,0,22,1162,2264,151
06037104704,California,Los Angeles County,4219,25.2,47466,2328,1379,1731,584,146,18,28,1712,3238,175
06037104810,California,Los Angeles County,5328,14.9,70188,2543,1631,2398,36,105,19,49,2721,4996,180
06037104821,California,Los Angeles County,3514,20.2,65398,1420,1090,1784,51,65,0,17,1597,3269,59
06037104822,California,Los Angeles County,2277,20.6,59773,1437,726,892,27,164,4,22,1168,1998,122
06037106010,California,Los Angeles County,3152,17.0,74750,1020,771,1666,182,185,2,24,1093,2115,55
06037106020,California,Los Angeles County,5557,13.6,78250,2111,1501,3190,154,199,6,60,1948,4241,107
06037106111,California,Los Angeles County,4334,7.7,96132,1049,998,2447,221,326,10,58,1272,2552,47
06037106112,California,Los Angeles County,5969,6.9,94464,1222,1644,2965,244,563,6,65,2126,4092,53
