tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037199700,38892,1204,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2347,10410497.4609375,13808.4632410147
6037199801,41027,903,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2348,3724106.85449219,9459.39182732314
6037199802,42500,612,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2349,3296128.60546875,8868.7442248366
6037199900,37232,845,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2350,4782360.92285156,10141.7280220524
6037201110,65000,782,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2351,10992458.0566406,15893.3836362005
6037201120,78750,1233,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2352,8477293.32617188,13504.9177704466
6037201200,49500,776,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2353,4612278.71386719,10208.9505208962
6037201301,66658,1117,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2354,9414202.77832031,18595.3885423255
6037201302,102654,1899,Above Moderate Income,No,No,No,District 1,Los Angeles - Highland Park,SPA 4 - Metro,2355,10671943.7089844,14894.7665533714
6037201401,53050,1273,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2356,14162701.1113281,15449.7624668054
6037201402,54137,1519,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2357,20831565.21875,18870.5827674604
6037201501,69153,1536,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2358,9520485.640625,14185.0892357448
6037201503,50344,1025,Very Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2359,4712856.25292969,9121.1442804331
6037201504,59167,640,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2360,3937450.05175781,9476.65646399195
6037201601,47465,759,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2361,5989464.77929688,10928.0419707895
6037201602,65625,796,Low Income,Yes,No,Yes,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2362,11481095.9111328,18567.4044831871
6037201700,64844,1469,Low Income,Yes,No,Yes,District 1,Los Angeles - University Hills,SPA 4 - Metro,2363,18289606.4267578,20636.5668319081
6037203100,39329,1248,Very Low Income,Yes,Yes,Yes,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2364,7129819.72167969,11829.9124037394
