"FIPS code, 2020",California Census tracts,"Number of people in state prison from each Census tract, 2020","Census population, 2020","Total population, 2020","Imprisonment rate per 100,000"
6001400100,"Alameda County, Census Tract 4001",3,"3,038","3,041",99
6001400200,"Alameda County, Census Tract 4002",1,"2,001","2,002",50
6001400300,"Alameda County, Census Tract 4003",1,"5,504","5,505",18
6001400400,"Alameda County, Census Tract 4004",6,"4,112","4,118",146
6001400500,"Alameda County, Census Tract 4005",15,"3,644","3,659",410
6001400600,"Alameda County, Census Tract 4006",5,"1,788","1,793",279
6001400700,"Alameda County, Census Tract 4007",19,"4,508","4,527",420
6001400800,"Alameda County, Census Tract 4008",11,"3,917","3,928",280
6001400900,"Alameda County, Census Tract 4009",6,"2,514","2,520",238
6001401000,"Alameda County, Census Tract 4010",21,"6,097","6,118",343
6001401100,"Alameda County, Census Tract 4011",10,"4,966","4,976",201
6001401200,"Alameda County, Census Tract 4012",5,"2,989","2,994",167
6001401300,"Alameda County, Census Tract 4013",7,"5,887","5,894",119
6001401400,"Alameda County, Census Tract 4014",25,"5,355","5,380",465
6001401500,"Alameda County, Census Tract 4015",13,"2,661","2,674",486
6001401600,"Alameda County, Census Tract 4016",10,"2,971","2,981",335
6001401700,"Alameda County, Census Tract 4017",18,"6,121","6,139",293
6001401800,"Alameda County, Census Tract 4018",5,"1,981","1,986",252
6001402200,"Alameda County, Census Tract 4022",10,"3,250","3,260",307
6001402400,"Alameda County, Census Tract 4024",13,"2,459","2,472",526
6001402500,"Alameda County, Census Tract 4025",16,"2,010","2,026",790
6001402600,"Alameda County, Census Tract 4026",3,"1,226","1,229",244
6001402700,"Alameda County, Census Tract 4027",7,"1,827","1,834",382
6001402801,"Alameda County, Census Tract 4028.01",8,"2,941","2,949",271
6001402802,"Alameda County, Census Tract 4028.02",6,"1,453","1,459",411
6001402900,"Alameda County, Census Tract 4029",1,"1,917","1,918",52
6001403000,"Alameda County, Census Tract 4030",5,"3,007","3,012",166
6001403100,"Alameda County, Census Tract 4031",3,"1,690","1,693",177
